"Местное время в Леприндо";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"27.12.2020 03:00";"-33.7";"673.2";"";"";"70";"Ветер, дующий с востоко-северо-востока";"2";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перисто-слоистые, покрывающие все небо.";"";"-37.3";"";"";"";"";"";""
"27.12.2020 00:00";"-33.0";"672.2";"";"";"71";"Ветер, дующий с севера";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-36.4";"";"";"";"";"";""
"26.12.2020 21:00";"-30.7";"671.5";"";"";"68";"Ветер, дующий с запада";"4";"";"";"100%.";" ";"";"";"";"-29.0";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перисто-слоистые, покрывающие все небо.";"";"-34.7";"Осадков нет";"12";"";"";"";""
"26.12.2020 18:00";"-34.3";"671.3";"";"";"71";"Ветер, дующий с северо-востока";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-37.7";"";"";"";"";"";""
"26.12.2020 15:00";"-29.1";"670.0";"";"";"62";"Ветер, дующий с западо-юго-запада";"3";"";"";"40%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"50.0";"-34.1";"";"";"";"";"";""
"26.12.2020 12:00";"-31.3";"670.2";"";"";"70";"Ветер, дующий с западо-юго-запада";"4";"";"";"";" ";"";"";"-36.7";"";"";"";"";"";"";"";"-34.9";"";"";"";"";"";""
"26.12.2020 09:00";"-36.1";"670.0";"";"";"68";"Ветер, дующий с востока";"1";"";"";"20–30%.";" ";"";"";"-36.3";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"10%  или менее, но не 0";"2500 или более, или облаков нет.";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"";"-39.8";"Осадков нет";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"14.0"
"26.12.2020 06:00";"-34.2";"669.9";"";"";"70";"Ветер, дующий с западо-юго-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-37.7";"";"";"";"";"";""
"26.12.2020 03:00";"-33.7";"670.0";"";"";"71";"Ветер, дующий с западо-юго-запада";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"-37.1";"";"";"";"";"";""
"26.12.2020 00:00";"-31.6";"669.8";"";"";"72";"Ветер, дующий с западо-юго-запада";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-34.9";"";"";"";"";"";""
"25.12.2020 21:00";"-35.0";"670.1";"";"";"71";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"-26.6";"";"";"";"";"";"";"-38.4";"Осадков нет";"12";"";"";"";""
"25.12.2020 18:00";"-33.9";"670.3";"";"";"73";"Ветер, дующий с северо-северо-востока";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-37.1";"";"";"";"";"";""
"25.12.2020 15:00";"-26.8";"669.7";"";"";"72";"Ветер, дующий с западо-юго-запада";"3";"";"";"10%  или менее, но не 0";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"50.0";"-30.4";"";"";"";"";"";""
"25.12.2020 12:00";"-29.3";"669.7";"";"";"74";"Ветер, дующий с юго-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-32.5";"";"";"";"";"";""
"25.12.2020 09:00";"-31.9";"669.4";"";"";"73";"Ветер, дующий с западо-юго-запада";"2";"";"";"Облаков нет.";" ";"";"";"-34.1";"";"";"";"";"";"";"";"-35.1";"Осадков нет";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"14.0"
"25.12.2020 06:00";"-31.2";"669.0";"768.7";"";"73";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-34.4";"";"";"";"";"";""
"25.12.2020 03:00";"-31.2";"668.6";"";"";"73";"Штиль, безветрие";"0";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"";"-34.4";"";"";"";"";"";""
"25.12.2020 00:00";"-29.9";"668.5";"";"";"74";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-33.1";"";"";"";"";"";""
"24.12.2020 21:00";"-30.3";"668.2";"";"";"74";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перисто-слоистые, покрывающие все небо.";"";"-33.4";"Осадков нет";"12";"";"";"";""
"24.12.2020 18:00";"-30.1";"668.0";"";"";"74";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-33.2";"";"";"";"";"";""
"24.12.2020 15:00";"-25.5";"667.6";"";"";"80";"Штиль, безветрие";"0";"";"";"40%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"50.0";"-28.0";"";"";"";"";"";""
"24.12.2020 12:00";"-28.0";"667.4";"";"";"76";"Штиль, безветрие";"0";"";"";"";" ";"";"";"-31.8";"";"";"";"";"";"";"";"-30.9";"";"";"";"";"";""
"24.12.2020 09:00";"-31.2";"667.9";"";"";"74";"Штиль, безветрие";"0";"";"";"40%.";" ";"";"";"-31.6";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"";"-34.3";"Осадков нет";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"14.0"
"24.12.2020 06:00";"-31.0";"668.2";"";"";"73";"Ветер, дующий с западо-юго-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-34.2";"";"";"";"";"";""
"24.12.2020 03:00";"-28.7";"668.7";"";"";"77";"Ветер, дующий с юго-юго-запада";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"-31.5";"";"";"";"";"";""
"24.12.2020 00:00";"-27.3";"669.1";"";"";"80";"Ветер, дующий с юго-юго-востока";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-29.7";"";"";"";"";"";""
"23.12.2020 21:00";"-26.1";"669.6";"";"";"82";"Ветер, дующий с востоко-северо-востока";"1";"";"";"70 – 80%.";" ";"";"";"";"-20.4";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перисто-слоистые, не распространяющиеся по небу и не покрывающие его полностью.";"";"-28.3";"Осадков нет";"12";"";"";"";""
"23.12.2020 18:00";"-24.4";"670.1";"";"";"82";"Ветер, дующий с северо-востока";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-26.6";"";"";"";"";"";""
"23.12.2020 15:00";"-20.9";"670.0";"";"";"65";"Ветер, дующий с запада";"2";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перисто-слоистые, покрывающие все небо.";"50.0";"-25.8";"";"";"";"";"";""
"23.12.2020 12:00";"-23.2";"670.8";"";"";"74";"Ветер, дующий с запада";"2";"";"";"";" ";"";"";"-25.2";"";"";"";"";"";"";"";"-26.6";"";"";"";"";"";""
"23.12.2020 09:00";"-25.0";"671.2";"";"";"78";"Ветер, дующий с запада";"2";"";"";"70 – 80%.";" ";"";"";"-25.0";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перисто-слоистые, не распространяющиеся по небу и не покрывающие его полностью.";"";"-27.8";"Осадков нет";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"14.0"
"23.12.2020 06:00";"-23.5";"671.1";"";"";"76";"Ветер, дующий с западо-юго-запада";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-26.6";"";"";"";"";"";""
"23.12.2020 03:00";"-22.6";"671.1";"";"";"76";"Ветер, дующий с юго-юго-запада";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"-25.7";"";"";"";"";"";""
"23.12.2020 00:00";"-20.1";"670.7";"";"";"66";"Ветер, дующий с западо-юго-запада";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-24.8";"";"";"";"";"";""
"22.12.2020 21:00";"-20.0";"670.4";"";"";"70";"Ветер, дующий с юго-запада";"3";"";"";"40%.";" ";"";"";"";"-16.8";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"";"-24.1";"Осадков нет";"12";"";"";"";""
"22.12.2020 18:00";"-20.0";"669.8";"";"";"71";"Ветер, дующий с запада";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-24.0";"";"";"";"";"";""
"22.12.2020 15:00";"-17.3";"668.7";"";"";"63";"Ветер, дующий с западо-юго-запада";"5";"";"10";"20–30%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"50.0";"-22.7";"";"";"";"";"";""
"22.12.2020 12:00";"-18.7";"668.5";"";"";"58";"Ветер, дующий с юго-запада";"3";"";"10";"";" ";"";"";"-19.5";"";"";"";"";"";"";"";"-25.0";"";"";"";"";"";""
"22.12.2020 09:00";"-18.0";"667.7";"";"";"53";"Ветер, дующий с западо-юго-запада";"5";"10";"11";"Облаков нет.";" ";"";"";"-18.9";"";"";"";"";"";"";"";"-25.3";"Осадков нет";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"14.0"
"22.12.2020 06:00";"-17.6";"667.3";"";"";"53";"Ветер, дующий с западо-юго-запада";"6";"10";"11";"";" ";"";"";"";"";"";"";"";"";"";"";"-24.9";"";"";"";"";"";""
"22.12.2020 03:00";"-18.0";"667.5";"";"";"50";"Ветер, дующий с западо-юго-запада";"6";"10";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"-25.9";"";"";"";"";"";""
"22.12.2020 00:00";"-17.9";"667.4";"";"";"47";"Ветер, дующий с западо-юго-запада";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-26.6";"";"";"";"";"";""
"21.12.2020 21:00";"-18.4";"667.7";"";"";"53";"Ветер, дующий с юго-запада";"3";"";"";"Облаков нет.";" ";"";"";"";"-13.9";"";"";"";"";"";"";"-25.7";"Осадков нет";"12";"";"";"";""
"21.12.2020 18:00";"-16.8";"667.4";"";"";"51";"Ветер, дующий с западо-юго-запада";"4";"";"10";"";" ";"";"";"";"";"";"";"";"";"";"";"-24.6";"";"";"";"";"";""
"21.12.2020 15:00";"-14.5";"666.4";"";"";"45";"Ветер, дующий с запада";"5";"";"";"40%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"10%  или менее, но не 0";"2500 или более, или облаков нет.";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"50.0";"-24.0";"";"";"";"";"";""
"21.12.2020 12:00";"-14.0";"666.7";"";"";"41";"Ветер, дующий с западо-юго-запада";"6";"";"10";"";" ";"";"";"-14.8";"";"";"";"";"";"";"";"-24.6";"";"";"";"";"";""
