"Местное время в Светлом";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"30.12.2020 14:00";"-23.0";"744.0";"";"";"69";"Ветер, дующий с запада";"4";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30.12.2020 11:00";"-24.0";"744.0";"";"";"69";"Ветер, дующий с запада";"4";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30.12.2020 08:00";"-24.0";"745.0";"";"";"70";"Ветер, дующий с запада";"6";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30.12.2020 05:00";"-23.0";"745.0";"";"";"69";"Ветер, дующий с запада";"5";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30.12.2020 02:00";"-23.0";"746.0";"";"";"70";"Ветер, дующий с запада";"5";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29.12.2020 23:00";"-22.0";"748.0";"";"";"69";"Ветер, дующий с запада";"6";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29.12.2020 20:00";"-23.0";"748.0";"";"";"64";"Ветер, дующий с запада";"6";"";"";"";"Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29.12.2020 17:00";"-23.0";"749.0";"";"";"64";"Ветер, дующий с запада";"5";"";"";"";"Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29.12.2020 14:00";"-24.0";"750.0";"";"";"65";"Ветер, дующий с запада";"6";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29.12.2020 11:00";"-25.0";"751.0";"";"";"64";"Ветер, дующий с запада";"7";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29.12.2020 08:00";"-26.0";"751.0";"";"";"64";"Ветер, дующий с запада";"5";"";"";"";"Снег с перерывами слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29.12.2020 05:00";"-26.0";"752.0";"";"";"64";"Ветер, дующий с северо-запада";"4";"";"";"";"Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29.12.2020 02:00";"-27.0";"752.0";"";"";"64";"Ветер, дующий с запада";"5";"";"";"";"Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28.12.2020 23:00";"-27.0";"752.0";"";"";"65";"Ветер, дующий с запада";"5";"";"";"";"Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28.12.2020 20:00";"-28.0";"752.0";"";"";"65";"Ветер, дующий с запада";"6";"";"";"";"Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28.12.2020 17:00";"-28.0";"751.0";"";"";"65";"Ветер, дующий с запада";"5";"";"";"";"Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28.12.2020 14:00";"-28.0";"750.0";"";"";"64";"Ветер, дующий с запада";"6";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28.12.2020 11:00";"-29.0";"749.0";"";"";"69";"Ветер, дующий с запада";"6";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28.12.2020 08:00";"-29.0";"749.0";"";"";"69";"Ветер, дующий с запада";"5";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28.12.2020 05:00";"-29.0";"749.0";"";"";"69";"Ветер, дующий с запада";"4";"";"";"";"Снег с перерывами слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28.12.2020 02:00";"-30.0";"748.0";"";"";"74";"Ветер, дующий с северо-запада";"3";"";"";"";"Облака в целом рассеиваются или становятся менее развитыми. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27.12.2020 23:00";"-30.0";"748.0";"";"";"79";"Ветер, дующий с запада";"2";"";"";"";"Снег неливневый. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27.12.2020 20:00";"-32.0";"747.0";"";"";"74";"Ветер, дующий с запада";"1";"";"";"";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27.12.2020 17:00";"-30.0";"746.0";"";"";"75";"Ветер, дующий с северо-запада";"1";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27.12.2020 14:00";"-31.0";"745.0";"";"";"75";"Ветер, дующий с северо-запада";"1";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27.12.2020 11:00";"-33.0";"744.0";"";"";"73";"Ветер, дующий с северо-запада";"1";"";"";"";"Снег с перерывами слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27.12.2020 08:00";"-34.0";"743.0";"";"";"83";"Ветер, дующий с северо-запада";"1";"";"";"";"Снег неливневый. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27.12.2020 05:00";"-35.0";"742.0";"";"";"79";"Ветер, дующий с северо-запада";"1";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27.12.2020 02:00";"-37.0";"741.0";"";"";"80";"Ветер, дующий с северо-запада";"1";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26.12.2020 23:00";"-36.0";"740.0";"";"";"79";"Ветер, дующий с запада";"1";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26.12.2020 20:00";"-36.0";"739.0";"";"";"80";"Ветер, дующий с северо-запада";"2";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26.12.2020 17:00";"-35.0";"738.0";"";"";"78";"Ветер, дующий с северо-запада";"2";"";"";"";"Снег с перерывами слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26.12.2020 14:00";"-35.0";"737.0";"";"";"80";"Ветер, дующий с северо-запада";"2";"";"";"";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26.12.2020 11:00";"-38.0";"737.0";"";"";"80";"Ветер, дующий с северо-запада";"2";"";"";"";"Облака в целом рассеиваются или становятся менее развитыми. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26.12.2020 08:00";"-40.0";"737.0";"";"";"78";"Ветер, дующий с северо-запада";"2";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26.12.2020 05:00";"-40.0";"737.0";"";"";"79";"Ветер, дующий с северо-запада";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26.12.2020 02:00";"-40.0";"737.0";"";"";"80";"Ветер, дующий с северо-запада";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25.12.2020 23:00";"-40.0";"736.0";"";"";"78";"Ветер, дующий с северо-запада";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25.12.2020 20:00";"-38.0";"737.0";"";"";"80";"Ветер, дующий с северо-запада";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25.12.2020 17:00";"-37.0";"737.0";"";"";"79";"Ветер, дующий с северо-запада";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25.12.2020 14:00";"-36.0";"737.0";"";"";"81";"Ветер, дующий с запада";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25.12.2020 11:00";"-38.0";"737.0";"";"";"78";"Ветер, дующий с северо-запада";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25.12.2020 08:00";"-40.0";"737.0";"";"";"78";"Ветер, дующий с северо-запада";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25.12.2020 05:00";"-40.0";"736.0";"";"";"76";"Ветер, дующий с запада";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25.12.2020 02:00";"-38.0";"735.0";"";"";"74";"Ветер, дующий с северо-запада";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24.12.2020 23:00";"-37.0";"735.0";"";"";"74";"Ветер, дующий с северо-запада";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24.12.2020 20:00";"-35.0";"734.0";"";"";"75";"Ветер, дующий с северо-запада";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24.12.2020 17:00";"-33.0";"734.0";"";"";"75";"Ветер, дующий с запада";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24.12.2020 14:00";"-29.0";"733.0";"";"";"75";"Ветер, дующий с северо-запада";"2";"";"";"50%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24.12.2020 11:00";"-32.0";"733.0";"";"";"84";"Ветер, дующий с северо-запада";"2";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24.12.2020 08:00";"-33.0";"733.0";"";"";"84";"Ветер, дующий с запада";"1";"";"";"";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24.12.2020 05:00";"-30.0";"733.0";"";"";"84";"Штиль, безветрие";"0";"";"";"";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24.12.2020 02:00";"-31.0";"733.0";"";"";"85";"Ветер, дующий с северо-запада";"1";"";"";"";"Снег с перерывами слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23.12.2020 23:00";"-30.0";"733.0";"";"";"85";"Ветер, дующий с запада";"1";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23.12.2020 20:00";"-30.0";"734.0";"";"";"75";"Штиль, безветрие";"0";"";"";"50%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23.12.2020 17:00";"-28.0";"734.0";"";"";"75";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23.12.2020 14:00";"-25.0";"734.0";"";"";"75";"Ветер, дующий с северо-запада";"1";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23.12.2020 11:00";"-27.0";"735.0";"";"";"79";"Ветер, дующий с северо-запада";"1";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23.12.2020 08:00";"-28.0";"735.0";"";"";"79";"Ветер, дующий с северо-запада";"1";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23.12.2020 05:00";"-28.0";"734.0";"";"";"80";"Ветер, дующий с северо-запада";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23.12.2020 02:00";"-29.0";"734.0";"";"";"79";"Ветер, дующий с северо-запада";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22.12.2020 23:00";"-28.0";"734.0";"";"";"79";"Ветер, дующий с северо-запада";"1";"";"";"50%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22.12.2020 20:00";"-27.0";"734.0";"";"";"79";"Ветер, дующий с северо-запада";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22.12.2020 17:00";"-27.0";"733.0";"";"";"80";"Ветер, дующий с запада";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22.12.2020 14:00";"-24.0";"733.0";"";"";"75";"Ветер, дующий с северо-запада";"2";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22.12.2020 11:00";"-28.0";"733.0";"";"";"80";"Ветер, дующий с северо-запада";"2";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22.12.2020 08:00";"-28.0";"732.0";"";"";"80";"Ветер, дующий с северо-запада";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22.12.2020 05:00";"-27.0";"731.0";"";"";"69";"Ветер, дующий с северо-запада";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22.12.2020 02:00";"-25.0";"730.0";"";"";"70";"Ветер, дующий с запада";"3";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21.12.2020 23:00";"-23.0";"730.0";"";"";"70";"Ветер, дующий с северо-запада";"2";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21.12.2020 20:00";"-22.0";"730.0";"";"";"70";"Ветер, дующий с запада";"2";"";"";"50%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21.12.2020 17:00";"-22.0";"729.0";"";"";"70";"Ветер, дующий с запада";"1";"";"";"50%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21.12.2020 14:00";"-21.0";"728.0";"";"";"70";"Ветер, дующий с северо-запада";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21.12.2020 11:00";"-23.0";"728.0";"";"";"69";"Ветер, дующий с северо-запада";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21.12.2020 08:00";"-15.0";"728.0";"";"";"55";"Ветер, дующий с северо-запада";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21.12.2020 05:00";"-22.0";"727.0";"";"";"65";"Ветер, дующий с северо-запада";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21.12.2020 02:00";"-16.0";"727.0";"";"";"50";"Ветер, дующий с запада";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20.12.2020 23:00";"-13.0";"726.0";"";"";"45";"Ветер, дующий с юго-запада";"2";"";"";"50%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20.12.2020 20:00";"-9.0";"726.0";"";"";"41";"Ветер, дующий с северо-запада";"2";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20.12.2020 17:00";"-8.0";"725.0";"";"";"45";"Ветер, дующий с запада";"2";"";"";"50%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20.12.2020 14:00";"-6.0";"723.0";"";"";"52";"Ветер, дующий с запада";"2";"";"";"";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20.12.2020 11:00";"-5.0";"723.0";"";"";"74";"Ветер, дующий с запада";"2";"";"";"";"Ливневый снег умеренный или сильный в срок наблюдения или за последний час. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20.12.2020 08:00";"-5.0";"723.0";"";"";"68";"Ветер, дующий с запада";"3";"";"";"";"Ливневый снег слабый в срок наблюдения или за последний час. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20.12.2020 05:00";"-6.0";"724.0";"";"";"64";"Ветер, дующий с запада";"3";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20.12.2020 02:00";"-7.0";"725.0";"";"";"64";"Ветер, дующий с запада";"2";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19.12.2020 23:00";"-7.0";"726.0";"";"";"63";"Ветер, дующий с запада";"3";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19.12.2020 20:00";"-8.0";"728.0";"";"";"60";"Ветер, дующий с запада";"2";"";"";"";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19.12.2020 17:00";"-10.0";"730.0";"";"";"60";"Ветер, дующий с северо-запада";"1";"";"";"";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19.12.2020 14:00";"-11.0";"730.0";"";"";"70";"Ветер, дующий с северо-запада";"1";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19.12.2020 11:00";"-16.0";"731.0";"";"";"75";"Ветер, дующий с северо-запада";"1";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19.12.2020 08:00";"-20.0";"732.0";"";"";"75";"Ветер, дующий с запада";"2";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19.12.2020 05:00";"-22.0";"733.0";"";"";"79";"Ветер, дующий с северо-запада";"2";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19.12.2020 02:00";"-23.0";"734.0";"";"";"74";"Ветер, дующий с северо-запада";"3";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18.12.2020 23:00";"-23.0";"735.0";"";"";"74";"Ветер, дующий с северо-запада";"3";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18.12.2020 20:00";"-25.0";"736.0";"";"";"74";"Ветер, дующий с северо-запада";"3";"";"";"";"Снег с перерывами слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18.12.2020 17:00";"-25.0";"737.0";"";"";"70";"Ветер, дующий с северо-запада";"3";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18.12.2020 14:00";"-24.0";"737.0";"";"";"69";"Ветер, дующий с северо-запада";"3";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18.12.2020 11:00";"-25.0";"738.0";"";"";"70";"Ветер, дующий с северо-запада";"3";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18.12.2020 08:00";"-25.0";"739.0";"";"";"69";"Ветер, дующий с северо-запада";"3";"";"";"";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18.12.2020 05:00";"-22.0";"741.0";"";"";"60";"Ветер, дующий с северо-запада";"3";"";"";"";"Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18.12.2020 02:00";"-21.0";"740.0";"";"";"60";"Ветер, дующий с запада";"3";"";"";"";"Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17.12.2020 23:00";"-22.0";"741.0";"";"";"60";"Ветер, дующий с северо-запада";"3";"";"";"";"Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17.12.2020 20:00";"-22.0";"742.0";"";"";"60";"Ветер, дующий с запада";"3";"";"";"";"Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17.12.2020 17:00";"-23.0";"741.0";"";"";"55";"Ветер, дующий с запада";"4";"";"";"";"Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17.12.2020 14:00";"-23.0";"741.0";"";"";"59";"Ветер, дующий с запада";"2";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17.12.2020 11:00";"-22.0";"741.0";"";"";"55";"Ветер, дующий с запада";"3";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17.12.2020 08:00";"-30.0";"740.0";"";"";"79";"Ветер, дующий с северо-запада";"2";"";"";"50%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17.12.2020 05:00";"-31.0";"738.0";"";"";"74";"Ветер, дующий с северо-запада";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17.12.2020 02:00";"-33.0";"737.0";"";"";"74";"Ветер, дующий с юга";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16.12.2020 23:00";"-33.0";"735.0";"";"";"75";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16.12.2020 20:00";"-30.0";"734.0";"";"";"79";"Ветер, дующий с северо-запада";"1";"";"";"50%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16.12.2020 17:00";"-30.0";"732.0";"";"";"79";"Ветер, дующий с запада";"1";"";"";"50%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16.12.2020 14:00";"-27.0";"731.0";"";"";"74";"Ветер, дующий с северо-запада";"1";"";"";"";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16.12.2020 11:00";"-30.0";"731.0";"";"";"79";"Ветер, дующий с северо-запада";"1";"";"";"";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16.12.2020 08:00";"-30.0";"732.0";"";"";"74";"Ветер, дующий с северо-запада";"1";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16.12.2020 05:00";"-32.0";"733.0";"";"";"74";"Ветер, дующий с северо-запада";"1";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16.12.2020 02:00";"-34.0";"735.0";"";"";"75";"Ветер, дующий с северо-запада";"1";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15.12.2020 23:00";"-34.0";"736.0";"";"";"76";"Ветер, дующий с северо-запада";"1";"";"";"50%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15.12.2020 20:00";"-34.0";"737.0";"";"";"74";"Ветер, дующий с северо-запада";"1";"";"";"50%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15.12.2020 17:00";"-34.0";"738.0";"";"";"75";"Ветер, дующий с северо-запада";"1";"";"";"50%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15.12.2020 14:00";"-32.0";"738.0";"";"";"69";"Ветер, дующий с северо-запада";"2";"";"";"50%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
